range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 46.6875, s: 40.0000, e: -6.6875, i: 0.7897, d: 0.1250, PT: -0.2675, IT: 0.7897, DT: 0.2625, O: 0.2597
i: 46.8750, s: 40.0000, e: -6.8750, i: 0.7842, d: 0.1875, PT: -0.2750, IT: 0.7842, DT: 0.3938, O: 0.1155
i: 47.0000, s: 40.0000, e: -7.0000, i: 0.7786, d: 0.1250, PT: -0.2800, IT: 0.7786, DT: 0.2625, O: 0.2361
i: 47.0625, s: 40.0000, e: -7.0625, i: 0.7730, d: 0.0625, PT: -0.2825, IT: 0.7730, DT: 0.1313, O: 0.3592
i: 47.4375, s: 40.0000, e: -7.4375, i: 0.7670, d: 0.3750, PT: -0.2975, IT: 0.7670, DT: 0.7875, O: 0.0000
i: 47.6250, s: 40.0000, e: -7.6250, i: 0.7609, d: 0.1875, PT: -0.3050, IT: 0.7609, DT: 0.3938, O: 0.0622
i: 47.7500, s: 40.0000, e: -7.7500, i: 0.7547, d: 0.1250, PT: -0.3100, IT: 0.7547, DT: 0.2625, O: 0.1822
i: 47.8750, s: 40.0000, e: -7.8750, i: 0.7484, d: 0.1250, PT: -0.3150, IT: 0.7484, DT: 0.2625, O: 0.1709
i: 48.0000, s: 40.0000, e: -8.0000, i: 0.7420, d: 0.1250, PT: -0.3200, IT: 0.7420, DT: 0.2625, O: 0.1595
i: 48.0625, s: 40.0000, e: -8.0625, i: 0.7356, d: 0.0625, PT: -0.3225, IT: 0.7356, DT: 0.1313, O: 0.2818
i: 48.3125, s: 40.0000, e: -8.3125, i: 0.7289, d: 0.2500, PT: -0.3325, IT: 0.7289, DT: 0.5250, O: 0.0000
i: 48.3750, s: 40.0000, e: -8.3750, i: 0.7222, d: 0.0625, PT: -0.3350, IT: 0.7222, DT: 0.1313, O: 0.2560
i: 48.5625, s: 40.0000, e: -8.5625, i: 0.7154, d: 0.1875, PT: -0.3425, IT: 0.7154, DT: 0.3938, O: 0.0000
i: 48.6875, s: 40.0000, e: -8.6875, i: 0.7084, d: 0.1250, PT: -0.3475, IT: 0.7084, DT: 0.2625, O: 0.0984
i: 48.8750, s: 40.0000, e: -8.8750, i: 0.7013, d: 0.1875, PT: -0.3550, IT: 0.7013, DT: 0.3938, O: 0.0000
i: 48.9375, s: 40.0000, e: -8.9375, i: 0.6942, d: 0.0625, PT: -0.3575, IT: 0.6942, DT: 0.1313, O: 0.2054
i: 49.0000, s: 40.0000, e: -9.0000, i: 0.6870, d: 0.0625, PT: -0.3600, IT: 0.6870, DT: 0.1313, O: 0.1957
i: 49.1250, s: 40.0000, e: -9.1250, i: 0.6797, d: 0.1250, PT: -0.3650, IT: 0.6797, DT: 0.2625, O: 0.0522
i: 49.1875, s: 40.0000, e: -9.1875, i: 0.6723, d: 0.0625, PT: -0.3675, IT: 0.6723, DT: 0.1313, O: 0.1736
i: 49.3125, s: 40.0000, e: -9.3125, i: 0.6649, d: 0.1250, PT: -0.3725, IT: 0.6649, DT: 0.2625, O: 0.0299
i: 49.4375, s: 40.0000, e: -9.4375, i: 0.6573, d: 0.1250, PT: -0.3775, IT: 0.6573, DT: 0.2625, O: 0.0173
i: 49.4375, s: 40.0000, e: -9.4375, i: 0.6498, d: 0.0000, PT: -0.3775, IT: 0.6498, DT: 0.0000, O: 0.2723
i: 49.4375, s: 40.0000, e: -9.4375, i: 0.6422, d: 0.0000, PT: -0.3775, IT: 0.6422, DT: 0.0000, O: 0.2647
i: 49.5000, s: 40.0000, e: -9.5000, i: 0.6346, d: 0.0625, PT: -0.3800, IT: 0.6346, DT: 0.1313, O: 0.1234
i: 49.6875, s: 40.0000, e: -9.6875, i: 0.6269, d: 0.1875, PT: -0.3875, IT: 0.6269, DT: 0.3938, O: 0.0000
i: 49.8125, s: 40.0000, e: -9.8125, i: 0.6190, d: 0.1250, PT: -0.3925, IT: 0.6190, DT: 0.2625, O: 0.0000
i: 49.8750, s: 40.0000, e: -9.8750, i: 0.6111, d: 0.0625, PT: -0.3950, IT: 0.6111, DT: 0.1313, O: 0.0849
i: 49.9375, s: 40.0000, e: -9.9375, i: 0.6032, d: 0.0625, PT: -0.3975, IT: 0.6032, DT: 0.1313, O: 0.0744
i: 50.0625, s: 40.0000, e: -10.0625, i: 0.5951, d: 0.1250, PT: -0.4025, IT: 0.5951, DT: 0.2625, O: 0.0000
i: 50.0625, s: 40.0000, e: -10.0625, i: 0.5871, d: 0.0000, PT: -0.4025, IT: 0.5871, DT: 0.0000, O: 0.1846
i: 50.1875, s: 40.0000, e: -10.1875, i: 0.5789, d: 0.1250, PT: -0.4075, IT: 0.5789, DT: 0.2625, O: 0.0000
i: 50.2500, s: 40.0000, e: -10.2500, i: 0.5707, d: 0.0625, PT: -0.4100, IT: 0.5707, DT: 0.1313, O: 0.0295
i: 50.3750, s: 40.0000, e: -10.3750, i: 0.5624, d: 0.1250, PT: -0.4150, IT: 0.5624, DT: 0.2625, O: 0.0000
i: 50.5000, s: 40.0000, e: -10.5000, i: 0.5540, d: 0.1250, PT: -0.4200, IT: 0.5540, DT: 0.2625, O: 0.0000
i: 50.5000, s: 40.0000, e: -10.5000, i: 0.5456, d: 0.0000, PT: -0.4200, IT: 0.5456, DT: 0.0000, O: 0.1256
i: 50.5625, s: 40.0000, e: -10.5625, i: 0.5372, d: 0.0625, PT: -0.4225, IT: 0.5372, DT: 0.1313, O: 0.0000
i: 50.6250, s: 40.0000, e: -10.6250, i: 0.5287, d: 0.0625, PT: -0.4250, IT: 0.5287, DT: 0.1313, O: 0.0000
i: 50.6250, s: 40.0000, e: -10.6250, i: 0.5202, d: 0.0000, PT: -0.4250, IT: 0.5202, DT: 0.0000, O: 0.0952
i: 50.6250, s: 40.0000, e: -10.6250, i: 0.5117, d: 0.0000, PT: -0.4250, IT: 0.5117, DT: 0.0000, O: 0.0867
i: 50.6250, s: 40.0000, e: -10.6250, i: 0.5032, d: 0.0000, PT: -0.4250, IT: 0.5032, DT: 0.0000, O: 0.0782
i: 50.7500, s: 40.0000, e: -10.7500, i: 0.4946, d: 0.1250, PT: -0.4300, IT: 0.4946, DT: 0.2625, O: 0.0000
i: 50.8750, s: 40.0000, e: -10.8750, i: 0.4859, d: 0.1250, PT: -0.4350, IT: 0.4859, DT: 0.2625, O: 0.0000
i: 50.8750, s: 40.0000, e: -10.8750, i: 0.4772, d: 0.0000, PT: -0.4350, IT: 0.4772, DT: 0.0000, O: 0.0422
i: 50.8750, s: 40.0000, e: -10.8750, i: 0.4685, d: 0.0000, PT: -0.4350, IT: 0.4685, DT: 0.0000, O: 0.0335
i: 50.8750, s: 40.0000, e: -10.8750, i: 0.4598, d: 0.0000, PT: -0.4350, IT: 0.4598, DT: 0.0000, O: 0.0248
i: 50.8750, s: 40.0000, e: -10.8750, i: 0.4511, d: 0.0000, PT: -0.4350, IT: 0.4511, DT: 0.0000, O: 0.0161
i: 50.9375, s: 40.0000, e: -10.9375, i: 0.4423, d: 0.0625, PT: -0.4375, IT: 0.4423, DT: 0.1313, O: 0.0000
i: 50.9375, s: 40.0000, e: -10.9375, i: 0.4336, d: 0.0000, PT: -0.4375, IT: 0.4336, DT: 0.0000, O: 0.0000
i: 51.0000, s: 40.0000, e: -11.0000, i: 0.4248, d: 0.0625, PT: -0.4400, IT: 0.4248, DT: 0.1313, O: 0.0000
i: 51.0625, s: 40.0000, e: -11.0625, i: 0.4159, d: 0.0625, PT: -0.4425, IT: 0.4159, DT: 0.1313, O: 0.0000
i: 51.0625, s: 40.0000, e: -11.0625, i: 0.4071, d: 0.0000, PT: -0.4425, IT: 0.4071, DT: 0.0000, O: 0.0000
i: 51.1250, s: 40.0000, e: -11.1250, i: 0.3982, d: 0.0625, PT: -0.4450, IT: 0.3982, DT: 0.1313, O: 0.0000
i: 51.1250, s: 40.0000, e: -11.1250, i: 0.3893, d: 0.0000, PT: -0.4450, IT: 0.3893, DT: 0.0000, O: 0.0000
i: 51.1250, s: 40.0000, e: -11.1250, i: 0.3804, d: 0.0000, PT: -0.4450, IT: 0.3804, DT: 0.0000, O: 0.0000
i: 51.1875, s: 40.0000, e: -11.1875, i: 0.3714, d: 0.0625, PT: -0.4475, IT: 0.3714, DT: 0.1313, O: 0.0000
