range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.4, s: 50.0, e: -3.4, i: 0.0, d: 53.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.4, s: 50.0, e: -3.4, i: 0.0, d: 53.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.4, s: 50.0, e: -3.4, i: 0.0, d: 53.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.4, s: 50.0, e: -3.4, i: 0.0, d: 53.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.4, s: 50.0, e: -3.4, i: 0.0, d: 53.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.4, s: 50.0, e: -3.4, i: 0.0, d: 53.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.3, s: 50.0, e: -3.3, i: 0.0, d: 53.3, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.2, s: 50.0, e: -3.2, i: 0.0, d: 53.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.2, s: 50.0, e: -3.2, i: 0.0, d: 53.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.2, s: 50.0, e: -3.2, i: 0.0, d: 53.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.2, s: 50.0, e: -3.2, i: 0.0, d: 53.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.2, s: 50.0, e: -3.2, i: 0.0, d: 53.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.2, s: 50.0, e: -3.2, i: 0.0, d: 53.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.2, s: 50.0, e: -3.2, i: 0.0, d: 53.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.1, s: 50.0, e: -3.1, i: 0.0, d: 53.1, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.1, s: 50.0, e: -3.1, i: 0.0, d: 53.1, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.1, s: 50.0, e: -3.1, i: 0.0, d: 53.1, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.1, s: 50.0, e: -3.1, i: 0.0, d: 53.1, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.1, s: 50.0, e: -3.1, i: 0.0, d: 53.1, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.0, s: 50.0, e: -3.0, i: 0.0, d: 53.0, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 52.9, s: 50.0, e: -2.9, i: 0.0, d: 52.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.9, s: 50.0, e: -2.9, i: 0.0, d: 52.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.9, s: 50.0, e: -2.9, i: 0.0, d: 52.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.9, s: 50.0, e: -2.9, i: 0.0, d: 52.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.9, s: 50.0, e: -2.9, i: 0.0, d: 52.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.9, s: 50.0, e: -2.9, i: 0.0, d: 52.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.9, s: 50.0, e: -2.9, i: 0.0, d: 52.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.8, s: 50.0, e: -2.8, i: 0.0, d: 52.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.8, s: 50.0, e: -2.8, i: 0.0, d: 52.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.8, s: 50.0, e: -2.8, i: 0.0, d: 52.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
